session_id,cart,checkout,purchase,view,view_to_cart_time,cart_to_checkout_time,checkout_to_purchase_time
238,2024-02-01 20:38:00,2024-02-01 20:40:00,2024-02-01 20:43:00,2024-02-01 20:34:00,4.0,2.0,3.0
239,,,,2024-01-27 05:03:00,,,
240,2024-01-21 00:53:00,2024-01-21 00:55:00,2024-01-21 00:56:00,2024-01-21 00:51:00,2.0,2.0,1.0
241,2024-01-03 16:30:00,2024-01-03 16:31:00,2024-01-03 16:32:00,2024-01-03 16:29:00,1.0,1.0,1.0
242,2024-01-29 17:16:00,2024-01-29 17:20:00,2024-01-29 17:24:00,2024-01-29 17:14:00,2.0,4.0,4.0
243,,,,2024-01-01 10:28:00,,,
244,2024-01-02 02:28:00,2024-01-02 02:30:00,,2024-01-02 02:24:00,4.0,2.0,
245,,,,2024-01-11 21:00:00,,,
246,,,,2024-01-13 04:50:00,,,
247,,,,2024-01-16 18:00:00,,,
248,2024-01-19 00:28:00,2024-01-19 00:32:00,2024-01-19 00:36:00,2024-01-19 00:25:00,3.0,4.0,4.0
249,2024-01-06 08:38:00,2024-01-06 08:41:00,2024-01-06 08:42:00,2024-01-06 08:35:00,3.0,3.0,1.0
250,2024-01-03 07:36:00,,,2024-01-03 07:34:00,2.0,,
251,,,,2024-01-01 05:36:00,,,
252,,,,2024-01-25 23:56:00,,,
253,2024-01-23 23:18:00,2024-01-23 23:22:00,2024-01-23 23:25:00,2024-01-23 23:17:00,1.0,4.0,3.0
254,2024-01-30 21:46:00,,,2024-01-30 21:42:00,4.0,,
255,,,,2024-01-14 11:14:00,,,
256,,,,2024-01-01 12:20:00,,,
257,2024-01-14 15:49:00,,,2024-01-14 15:45:00,4.0,,
258,,,,2024-02-04 08:52:00,,,
259,,,,2024-02-01 21:16:00,,,
260,2024-01-26 23:32:00,,,2024-01-26 23:29:00,3.0,,
261,2024-01-03 11:47:00,,,2024-01-03 11:43:00,4.0,,
262,,,,2024-01-27 18:40:00,,,
263,2024-01-10 14:51:00,,,2024-01-10 14:49:00,2.0,,
264,2024-01-20 21:45:00,2024-01-20 21:47:00,2024-01-20 21:49:00,2024-01-20 21:44:00,1.0,2.0,2.0
265,2024-02-04 14:21:00,2024-02-04 14:25:00,,2024-02-04 14:20:00,1.0,4.0,
266,2024-01-16 14:59:00,,,2024-01-16 14:55:00,4.0,,
267,,,,2024-01-02 20:23:00,,,
268,,,,2024-01-29 07:22:00,,,
269,,,,2024-02-04 01:41:00,,,
270,2024-01-11 12:15:00,2024-01-11 12:19:00,2024-01-11 12:22:00,2024-01-11 12:13:00,2.0,4.0,3.0
271,,,,2024-01-19 04:17:00,,,
272,,,,2024-01-12 16:49:00,,,
273,,,,2024-02-04 08:21:00,,,
274,2024-01-21 02:03:00,,,2024-01-21 02:02:00,1.0,,
275,2024-01-01 01:46:00,2024-01-01 01:48:00,2024-01-01 01:52:00,2024-01-01 01:44:00,2.0,2.0,4.0
276,2024-01-12 06:13:00,,,2024-01-12 06:12:00,1.0,,
277,2024-02-04 09:36:00,,,2024-02-04 09:35:00,1.0,,
278,2024-01-22 19:23:00,2024-01-22 19:27:00,2024-01-22 19:30:00,2024-01-22 19:20:00,3.0,4.0,3.0
279,,,,2024-02-01 00:56:00,,,
280,2024-01-10 14:17:00,2024-01-10 14:20:00,2024-01-10 14:23:00,2024-01-10 14:16:00,1.0,3.0,3.0
281,2024-01-14 08:28:00,2024-01-14 08:30:00,2024-01-14 08:32:00,2024-01-14 08:24:00,4.0,2.0,2.0
282,2024-01-04 23:58:00,2024-01-04 23:59:00,2024-01-05 00:03:00,2024-01-04 23:55:00,3.0,1.0,4.0
283,2024-01-11 06:35:00,2024-01-11 06:37:00,2024-01-11 06:39:00,2024-01-11 06:34:00,1.0,2.0,2.0
284,,,,2024-01-25 16:42:00,,,
285,2024-01-09 01:28:00,2024-01-09 01:30:00,,2024-01-09 01:24:00,4.0,2.0,
286,2024-02-02 13:53:00,2024-02-02 13:55:00,,2024-02-02 13:49:00,4.0,2.0,
287,,,,2024-01-26 19:20:00,,,
288,2024-01-15 11:54:00,2024-01-15 11:56:00,2024-01-15 11:59:00,2024-01-15 11:50:00,4.0,2.0,3.0
289,,,,2024-01-23 04:08:00,,,
290,2024-01-08 07:50:00,2024-01-08 07:52:00,2024-01-08 07:54:00,2024-01-08 07:48:00,2.0,2.0,2.0
291,2024-01-07 20:55:00,2024-01-07 20:58:00,2024-01-07 21:02:00,2024-01-07 20:52:00,3.0,3.0,4.0
292,2024-01-15 06:14:00,2024-01-15 06:18:00,2024-01-15 06:20:00,2024-01-15 06:10:00,4.0,4.0,2.0
293,2024-01-31 05:30:00,2024-01-31 05:32:00,2024-01-31 05:35:00,2024-01-31 05:27:00,3.0,2.0,3.0
294,2024-01-05 11:38:00,,,2024-01-05 11:36:00,2.0,,
295,,,,2024-01-28 16:53:00,,,
296,,,,2024-01-28 03:17:00,,,
297,2024-02-04 11:32:00,2024-02-04 11:36:00,2024-02-04 11:37:00,2024-02-04 11:31:00,1.0,4.0,1.0
298,,,,2024-01-29 12:50:00,,,
299,,,,2024-01-22 17:41:00,,,
300,,,,2024-01-12 02:49:00,,,
301,2024-01-15 17:28:00,2024-01-15 17:30:00,2024-01-15 17:32:00,2024-01-15 17:26:00,2.0,2.0,2.0
302,,,,2024-01-28 09:44:00,,,
303,,,,2024-02-04 13:32:00,,,
304,2024-01-31 01:30:00,2024-01-31 01:32:00,2024-01-31 01:34:00,2024-01-31 01:28:00,2.0,2.0,2.0
305,,,,2024-01-12 18:54:00,,,
306,,,,2024-01-15 09:28:00,,,
307,,,,2024-01-27 04:50:00,,,
308,,,,2024-01-20 00:15:00,,,
309,2024-01-18 01:43:00,2024-01-18 01:44:00,,2024-01-18 01:40:00,3.0,1.0,
310,2024-02-03 12:24:00,,,2024-02-03 12:23:00,1.0,,
311,,,,2024-01-03 10:40:00,,,
312,,,,2024-01-26 17:41:00,,,
313,2024-01-14 12:28:00,2024-01-14 12:30:00,,2024-01-14 12:24:00,4.0,2.0,
314,,,,2024-01-16 00:37:00,,,
315,,,,2024-01-08 16:29:00,,,
316,2024-01-26 12:45:00,2024-01-26 12:49:00,2024-01-26 12:50:00,2024-01-26 12:44:00,1.0,4.0,1.0
317,,,,2024-01-20 11:53:00,,,
318,2024-01-11 09:57:00,2024-01-11 09:59:00,2024-01-11 10:02:00,2024-01-11 09:55:00,2.0,2.0,3.0
319,,,,2024-01-08 08:57:00,,,
320,2024-01-01 01:04:00,2024-01-01 01:05:00,2024-01-01 01:07:00,2024-01-01 01:02:00,2.0,1.0,2.0
321,2024-01-13 05:40:00,2024-01-13 05:41:00,2024-01-13 05:44:00,2024-01-13 05:37:00,3.0,1.0,3.0
322,2024-01-14 17:44:00,2024-01-14 17:48:00,,2024-01-14 17:43:00,1.0,4.0,
323,2024-02-02 14:57:00,2024-02-02 15:01:00,2024-02-02 15:05:00,2024-02-02 14:54:00,3.0,4.0,4.0
324,,,,2024-01-09 08:49:00,,,
325,,,,2024-01-29 03:22:00,,,
326,2024-01-16 05:44:00,,,2024-01-16 05:43:00,1.0,,
327,,,,2024-01-01 16:16:00,,,
328,2024-01-22 23:51:00,2024-01-22 23:52:00,2024-01-22 23:55:00,2024-01-22 23:48:00,3.0,1.0,3.0
329,,,,2024-01-12 06:54:00,,,
330,,,,2024-01-14 11:52:00,,,
331,2024-01-24 03:07:00,,,2024-01-24 03:04:00,3.0,,
332,,,,2024-01-01 19:30:00,,,
333,,,,2024-01-07 08:08:00,,,
334,,,,2024-01-03 01:36:00,,,
335,2024-02-02 14:35:00,2024-02-02 14:37:00,2024-02-02 14:39:00,2024-02-02 14:31:00,4.0,2.0,2.0
336,,,,2024-01-15 12:20:00,,,
337,2024-01-03 11:25:00,2024-01-03 11:29:00,,2024-01-03 11:22:00,3.0,4.0,
338,,,,2024-01-06 23:12:00,,,
339,2024-01-30 05:48:00,,,2024-01-30 05:44:00,4.0,,
340,2024-01-26 11:15:00,,,2024-01-26 11:13:00,2.0,,
341,2024-01-02 01:00:00,2024-01-02 01:02:00,,2024-01-02 00:58:00,2.0,2.0,
342,,,,2024-01-03 05:13:00,,,
343,,,,2024-02-03 14:48:00,,,
344,2024-01-16 12:06:00,2024-01-16 12:10:00,,2024-01-16 12:05:00,1.0,4.0,
345,2024-01-31 11:16:00,2024-01-31 11:18:00,2024-01-31 11:21:00,2024-01-31 11:12:00,4.0,2.0,3.0
346,,,,2024-01-28 21:55:00,,,
347,,,,2024-01-06 11:54:00,,,
348,,,,2024-01-11 09:55:00,,,
349,2024-01-21 12:36:00,2024-01-21 12:39:00,2024-01-21 12:40:00,2024-01-21 12:33:00,3.0,3.0,1.0
350,,,,2024-01-28 11:28:00,,,
351,,,,2024-01-18 13:07:00,,,
352,2024-02-02 17:31:00,2024-02-02 17:33:00,2024-02-02 17:36:00,2024-02-02 17:27:00,4.0,2.0,3.0
